Alabama,Camellia
Alaska,Forget Me Not
Arizona,Saguaro cactus blossom
Arkansas,Apple blossom
California,Golden poppy
Colorado,Rocky Mountain columbine
Connecticut,Mountain laurel
Delaware,Peach blossom
Florida,Orange blossom
Georgia,Cherokee rose
Hawaii,Hibiscus
Idaho,Syringa
Illinois,Violet
Indiana,Peony
Iowa,Wild rose
Kansas,Sunflower
Kentucky,Goldenrod
Louisiana,Magnolia
Maine,White pine cone and tassel
Maryland,Black-eyed susan
Massachusetts,Mayflower
Michigan,Apple blossom
Minnesota,Lady slipper
Mississippi,Bloom of the magnolia or evergreen magnolia
Missouri,Hawthorn
Montana,Bitterroot
Nebraska,Goldenrod
Nevada,Sagebrush
New Hampshire,Purple lilac
New Jersey,Purple violet
New Mexico,Yucca
New York,Rose
North Carolina,Dogwood
North Dakota,Wild prairie rose
Ohio,Scarlet carnation
Oklahoma,Mistletoe
Oregon,Oregon grape
Pennsylvania,Mountain laurel
Rhode Island,Violet
South Carolina,Carolina yellow jessamine
South Dakota,American pasqueflower
Tennessee,Iris
Texas,Bluebonnet
Utah,Sego lily
Vermont,Red clover
Virginia,American dogwood
Washington,Coast rhododendron
West Virginia,Rhododendron
Wisconsin,Wood violet
Wyoming,Indian paintbrush
