Alabama,Longleaf pine
Alaska,Sitka spruce
Arizona,Palo Verde
Arkansas,Pine tree
California,California redwood and sequoia
Colorado,Colorado blue spruce
Connecticut,White oak
Delaware,American holly
Florida,Sabal palm
Georgia,Live oak
Hawaii,Kukui (also called candlenut tree)
Idaho,Western white pine
Illinois,White oak
Indiana,Tulip tree
Iowa,Bur oak
Kansas,Cottonwood
Kentucky,Tulip tree
Louisiana,Bald cypress
Maine,White pine
Maryland,White oak
Massachusetts,American elm
Michigan,White pine
Minnesota,Norway pine (also called red pine)
Mississippi,Magnolia
Missouri,Flowering dogwood
Montana,Ponderosa pine
Nebraska,Cottonwood
Nevada,Bristlecone pine and the single-leaf pinon
New Hampshire,White birch
New Jersey,Red oak
New Mexico,Pinon pine
New York,Sugar maple
North Carolina,Pine
North Dakota,American elm
Ohio,Buckeye
Oklahoma,Redbud
Oregon,Douglas fir
Pennsylvania,Hemlock
Rhode Island,Red maple
South Carolina,Sabal palmetto (also called cabbage palm tree)
South Dakota,Black Hills spruce
Tennessee,Tulip poplar
Texas,Pecan
Utah,Quaking aspen
Vermont,Sugar maple
Virginia,American dogwood
Washington,Western hemlock
West Virginia,Sugar maple
Wisconsin,Sugar maple
Wyoming,Plains cottonwood
